Student ID;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16;Q17;Q18;Q19;Q20
2020001;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020002;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020003;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020004;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020005;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020006;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020007;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020008;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020009;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4
2020010;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020011;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020012;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020013;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020014;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020015;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3
2020016;5;5;4;4;5;5;4;4;5;5;5;4;5;5;4;4;5;5;5;4
2020017;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020018;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020019;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020020;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020021;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2020022;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020023;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2
2020024;5;3;3;3;2;2;3;3;3;4;4;5;5;4;3;3;3;4;2;2
2020025;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020026;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2020027;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020028;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2020029;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020030;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020031;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020032;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020033;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020034;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020035;1;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2
2020036;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3
2020037;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2020038;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020039;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020040;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020041;4;4;4;4;4;4;5;5;5;5;5;4;4;5;4;4;4;4;4;4
2020042;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020043;2;3;3;3;2;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3
2020044;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020045;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020046;2;3;4;5;5;4;4;4;5;4;4;4;4;4;4;4;4;2;2;2
2020047;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020048;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020049;4;4;4;3;4;2;4;5;3;3;4;1;5;5;5;5;5;5;5;5
2020050;4;4;4;4;4;4;4;4;3;4;4;2;4;4;4;4;4;4;4;4
2020051;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020052;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020053;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020054;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2020055;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020056;1;1;1;1;1;1;1;5;1;1;1;5;5;5;5;5;5;4;5;5
2020057;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020058;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020059;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020060;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020061;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020062;2;4;4;2;5;5;5;5;4;4;5;4;5;5;5;5;5;5;5;5
2020063;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020064;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4
2020065;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020066;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020067;3;5;4;4;5;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5
2020068;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020069;4;4;3;3;3;3;3;3;3;3;3;5;4;4;3;3;4;3;3;3
2020070;5;4;5;4;4;4;4;5;4;4;4;4;5;5;5;5;5;5;4;4
2020071;4;4;4;3;4;3;4;4;4;4;4;4;5;5;5;5;5;5;4;4
2020072;3;3;1;3;1;2;2;2;2;1;1;1;3;4;4;3;2;4;1;3
2020073;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020074;5;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5
2020075;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020076;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020077;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020078;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020079;3;3;3;4;4;4;4;3;3;4;4;4;4;3;3;3;4;4;4;4
2020080;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020081;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020082;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020083;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020084;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020085;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020086;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020087;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020088;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020089;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;4;4;4;4
2020090;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020091;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020092;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020093;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020094;1;1;1;1;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1
2020095;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020096;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020097;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020098;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020099;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020101;4;5;4;4;3;5;4;5;5;5;3;2;5;5;5;5;5;5;5;5
2020102;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020103;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020104;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020105;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020106;2;3;2;2;2;1;2;2;3;1;2;4;3;3;3;1;3;2;3;4
2020107;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020108;3;3;3;4;4;2;3;3;4;4;4;4;5;5;5;5;5;5;5;5
2020109;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020110;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020111;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2020112;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020113;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020114;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020115;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020116;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020117;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020118;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020119;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020120;1;3;4;1;3;1;1;3;1;1;3;1;3;4;4;1;5;3;4;5
2020121;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020122;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020123;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020124;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020125;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020126;2;2;2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4;4;4
2020127;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020128;2;2;2;2;2;1;2;2;2;2;2;2;2;5;5;2;5;5;5;5
2020129;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
2020130;2;3;3;4;5;4;3;2;2;2;1;1;1;1;1;1;1;1;1;1
2020131;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020132;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020133;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020134;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020135;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020136;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020137;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020138;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
2020139;3;3;2;2;5;3;3;3;5;5;4;4;3;4;4;4;4;4;4;4
2020140;1;1;4;2;3;3;2;2;2;2;3;2;4;3;3;3;5;2;3;3
2020141;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020142;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020143;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2020144;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020145;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2020146;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
2020147;4;4;4;4;4;4;4;3;3;3;3;4;4;3;3;1;3;2;3;3
2020148;1;1;5;1;5;4;5;5;1;4;5;3;4;4;4;4;4;4;4;4
2020149;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;3
2020150;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
